company,vertical,email,phone,website,state,contact_name,contact_title,member_since,service_codes,score,outreach_template,linkedin_search
WOLFFKRAN INC.,Crane & Rigging,m.herget@wolffkran.com,(347) 821-7655,https://https://www.wolffkran.com/website/en/us,TX,,,2014,C-Crane & RiggingI-International,85,crane-rigging,"""WOLFFKRAN INC."" owner OR CEO OR president site:linkedin.com"
"Yellowstone Crane & Rigging, Inc.",Crane & Rigging,luke@yellowstonecrane.com,(817) 319-4129,https://www.yellowstonecrane.com,TX,,,2022,C-Crane & Rigging,85,crane-rigging,"""Yellowstone Crane & Rigging, Inc."" owner OR CEO OR president site:linkedin.com"
256 Trucking LLC,Specialized Transport,jim@256truckinghsv.com,(256) 617-9576,https://www.256truckinghsv.com,AL,,,2024,T-Transportation,75,heavy-haul,"""256 Trucking LLC"" owner OR CEO OR president site:linkedin.com"
2CG SPECIALIZED TRANSPORTATION LLC,Specialized Transport,cgomez@2cg-specialized.com,(956) 382-2826,https://www.2cg-specialized.com,TX,,,2023,I-InternationalT-Transportation,75,heavy-haul,"""2CG SPECIALIZED TRANSPORTATION LLC"" owner OR CEO OR president site:linkedin.com"
406 Logistics And Dirt LLC,Specialized Transport,billy@406logistics.com,(406) 589-4783,https://www.406logistics.com,MT,,,2026,T-Transportation,75,heavy-haul,"""406 Logistics And Dirt LLC"" owner OR CEO OR president site:linkedin.com"
"A.J. McNulty & Co., Inc.",Crane & Rigging,rdoerr@ajmcnulty.com,(718) 784-1655,https://,NY,,,2019,C-Crane & Rigging,75,crane-rigging,"""A.J. McNulty & Co., Inc."" owner OR CEO OR president site:linkedin.com"
"Alan Farmer Trucking, Inc.",Specialized Transport,matt@aftrucking.com,(800) 413-3745,https://www.aftrucking.com,AL,,,2026,O-Oil FieldS-SteelT-Transportation,75,heavy-haul,"""Alan Farmer Trucking, Inc."" owner OR CEO OR president site:linkedin.com"
AlleyCat Crane Service,Crane & Rigging,alie@alleycatcrane.com,(617) 719-9632,https://,MA,,,2021,C-Crane & Rigging,75,crane-rigging,"""AlleyCat Crane Service"" owner OR CEO OR president site:linkedin.com"
Americas Machinery,Crane & Rigging,alexg@americasmachinery.com,+52 81 3434 5484,https://https://americasmachinery.com/,NL,,,2024,C-Crane & RiggingI-InternationalM-Millwright,75,crane-rigging,"""Americas Machinery"" owner OR CEO OR president site:linkedin.com"
Atlas Crane Service,Crane & Rigging,Admin@AtlasCraneService.com,(858) 748-6956,https://https://AtlasCraneService.com/,CA,,,2025,C-Crane & Rigging,75,crane-rigging,"""Atlas Crane Service"" owner OR CEO OR president site:linkedin.com"
Bar Baran Iran,Specialized Transport,farid@barbaraniran.com,2166462007,https://www.barbaraniran.com,,,,2025,T-Transportation,75,heavy-haul,"""Bar Baran Iran"" owner OR CEO OR president site:linkedin.com"
Barco Trucking LLC,Specialized Transport,barcoex@gmail.com,(435) 251-9253,https://www.barcotrucking.com,UT,,,2023,T-Transportation,75,heavy-haul,"""Barco Trucking LLC"" owner OR CEO OR president site:linkedin.com"
Bennett Motor Express,Specialized Transport,lawrence.fry@bennettig.com,(770) 957-1866,https://www.bennettig.com,GA,,,2015,I-InternationalO-Oil FieldS-SteelT-Transportation,75,heavy-haul,"""Bennett Motor Express"" owner OR CEO OR president site:linkedin.com"
"Bill Signs Trucking, LLC",Specialized Transport,mmorgan@billsignstrucking.com,(619) 249-6672,https://www.billsignstrucking.com,CA,,,2023,T-Transportation,75,heavy-haul,"""Bill Signs Trucking, LLC"" owner OR CEO OR president site:linkedin.com"
BOSS Crane & Rigging (B),Crane & Rigging,sam.watts@bosscrane.com,,https://www.bosscrane.com,TX,,,,C-Crane & Rigging,75,crane-rigging,"""BOSS Crane & Rigging (B)"" owner OR CEO OR president site:linkedin.com"
"BOSS Heavy Haul, LLC.",Specialized Transport,david.womack@bennettig.com,(832) 973-7095,https://www.bossheavyhaul.com,TX,,,2024,T-Transportation,75,heavy-haul,"""BOSS Heavy Haul, LLC."" owner OR CEO OR president site:linkedin.com"
"Catom Trucking, Inc.",Specialized Transport,Pete@catomtrucking.com,(630) 208-8442,https://www.catomtrucking.com,IL,,,2017,T-Transportation,75,heavy-haul,"""Catom Trucking, Inc."" owner OR CEO OR president site:linkedin.com"
Centennial Transport Services,Specialized Transport,luis@century-rentals.com,(915) 858-4454,https://www.century-rentals.com,TX,,,2022,T-Transportation,75,heavy-haul,"""Centennial Transport Services"" owner OR CEO OR president site:linkedin.com"
"Coastal Heavy Haulers, LLC",Specialized Transport,rogers@coastalheavyhaulers.com,(337) 316-9561,https://www.coastalheavyhaulers.com,LA,,,2025,T-Transportation,75,heavy-haul,"""Coastal Heavy Haulers, LLC"" owner OR CEO OR president site:linkedin.com"
Complex Cargo / PACT,Specialized Transport,seanko@complexcargo.com,(407) 785-9603,https://www.complexcargo.com,FL,,,2024,T-Transportation,75,heavy-haul,"""Complex Cargo / PACT"" owner OR CEO OR president site:linkedin.com"
CR Transport,Specialized Transport,johnriley@crtrans.biz,(815) 634-4443,https://www.crtans.biz,IL,,,2025,O-Oil FieldS-SteelT-Transportation,75,heavy-haul,"""CR Transport"" owner OR CEO OR president site:linkedin.com"
Crane Solutions,Specialized Transport,tobin.anthony@cranesolutionsllc.com,(972) 523-6054,https://www.cranesolutionsllc.com,TX,,,2024,T-Transportation,75,heavy-haul,"""Crane Solutions"" owner OR CEO OR president site:linkedin.com"
"CraneWorks, LLC (B)",Crane & Rigging,lrygula@Crane-Works.com,,https://www.Crane-Works.com,TX,,,,C-Crane & Rigging,75,crane-rigging,"""CraneWorks, LLC (B)"" owner OR CEO OR president site:linkedin.com"
"CraneWorks, LLC (B)",Crane & Rigging,jstrobel@crane-works.com,,https://www.Crane-Works.com,ND,,,,C-Crane & Rigging,75,crane-rigging,"""CraneWorks, LLC (B)"" owner OR CEO OR president site:linkedin.com"
"Cudd Pressure Control, Inc.",Specialized Transport,justin.gandy@thrutubing.com,(405) 692-1900,https://www.cudd.com,OK,,,2021,S-SteelT-Transportation,75,heavy-haul,"""Cudd Pressure Control, Inc."" owner OR CEO OR president site:linkedin.com"
Curzon Transportation Inc,Specialized Transport,Wesley@curzontransportation.com,(925) 525-5293,https://www.Curzontransportation.com,CA,,,2024,T-Transportation,75,heavy-haul,"""Curzon Transportation Inc"" owner OR CEO OR president site:linkedin.com"
"D/C Transport, Inc.",Specialized Transport,domjr@dcexport.com,(847) 593-4200,https://www.dctransport.com,IL,,,1993,T-Transportation,75,heavy-haul,"""D/C Transport, Inc."" owner OR CEO OR president site:linkedin.com"
"D/C Transport, Inc. (B)",Specialized Transport,domjr@dcexport.com,(847) 593-4200,https://www.dcexport.com,TX,,,,T-Transportation,75,heavy-haul,"""D/C Transport, Inc. (B)"" owner OR CEO OR president site:linkedin.com"
"D/C Transport, Inc. (B)",Specialized Transport,domjr@dcexport.com,(847) 593-4200,https://www.dctransport.com,CA,,,,T-Transportation,75,heavy-haul,"""D/C Transport, Inc. (B)"" owner OR CEO OR president site:linkedin.com"
"D/C Transport, Inc. (B)",Specialized Transport,domjr@dcexport.com,(847) 593-4200,https://www.dctransport.com,GA,,,,T-Transportation,75,heavy-haul,"""D/C Transport, Inc. (B)"" owner OR CEO OR president site:linkedin.com"
"D/C Transport, Inc. (B)",Specialized Transport,domjr@dcexport.com,(847) 593-4200,https://www.dctransport.com,SC,,,,T-Transportation,75,heavy-haul,"""D/C Transport, Inc. (B)"" owner OR CEO OR president site:linkedin.com"
"D/C Transport, Inc. (B)",Specialized Transport,davids@dcexport.com,(864) 989-0434,https://www.dctransport.com,SC,,,,T-Transportation,75,heavy-haul,"""D/C Transport, Inc. (B)"" owner OR CEO OR president site:linkedin.com"
"Dash Point Distributing, LLC",Specialized Transport,robd@dashpointservices.com,(253) 606-7327,https://www.dashpointservices.com,WA,,,2024,T-Transportation,75,heavy-haul,"""Dash Point Distributing, LLC"" owner OR CEO OR president site:linkedin.com"
DMH Services Inc.,Specialized Transport,DougHolden@DMHServicesinc.com,(262) 770-0158,https://www.dmhservicesinc.com,WI,,,2020,T-Transportation,75,heavy-haul,"""DMH Services Inc."" owner OR CEO OR president site:linkedin.com"
Double M Trucking Inc.,Specialized Transport,mbult@doublemtruckinginc.com,(708) 418-1076,https://www.doublemtruckinginc.com,IL,,,1998,T-Transportation,75,heavy-haul,"""Double M Trucking Inc."" owner OR CEO OR president site:linkedin.com"
Elman Trucking Inc,Specialized Transport,elmantruckin@gmail.com,(708) 773-0189,https://www.elamnantruckinginc.com,IL,,,2025,T-Transportation,75,heavy-haul,"""Elman Trucking Inc"" owner OR CEO OR president site:linkedin.com"
Giltner Heavy Haul,Specialized Transport,jchristiana@giltner.com,(770) 334-8558,"https://www.giltnerheavyhaul.com

",GA,,,2020,I-InternationalO-Oil FieldT-Transportation,75,heavy-haul,"""Giltner Heavy Haul"" owner OR CEO OR president site:linkedin.com"
Heavy Rigging International,Crane & Rigging,jpgutierrez@heavyrigging.mx,+52 8118485012,https://https://heavyrigging.mx/,NL,,,2024,C-Crane & RiggingI-International,75,crane-rigging,"""Heavy Rigging International"" owner OR CEO OR president site:linkedin.com"
Highway Heavy Hauling,Specialized Transport,kristine@hwytransport.com,(503) 747-2222,https://www.hwyheavyhauling.com,OR,,,2017,T-Transportation,75,heavy-haul,"""Highway Heavy Hauling"" owner OR CEO OR president site:linkedin.com"
"ICE Service Group, Inc.",Specialized Transport,gchirgott@iceservicegroup.com,(724) 650-6863,https://www.iceservicegroup.com,PA,,,2023,T-Transportation,75,heavy-haul,"""ICE Service Group, Inc."" owner OR CEO OR president site:linkedin.com"
IUOE Local 15 Training Center,Crane & Rigging,patrickp@iuoe15.org,(718) 835-0400,https://,NY,,,2019,C-Crane & Rigging,75,crane-rigging,"""IUOE Local 15 Training Center"" owner OR CEO OR president site:linkedin.com"
Jordan Carriers,Specialized Transport,charleya@jordancarriers.com,(601) 446-1044,https://www.jordancarriers.com,MS,,,2023,T-Transportation,75,heavy-haul,"""Jordan Carriers"" owner OR CEO OR president site:linkedin.com"
Landstar - Shasko Global Logistics LLC,Specialized Transport,troy@shasko.com,(724) 798-8322,https://www.shaskoglobal.com,PA,,,2020,T-Transportation,75,heavy-haul,"""Landstar - Shasko Global Logistics LLC"" owner OR CEO OR president site:linkedin.com"
"Landstar JRG / Success Transportation, Inc.",Specialized Transport,lisa@landstarjrg.com,(214) 673-7382,https://www.landstarjrg.com,TX,,,2026,T-Transportation,75,heavy-haul,"""Landstar JRG / Success Transportation, Inc."" owner OR CEO OR president site:linkedin.com"
"Landstar Transportation Logistics, Inc.",Specialized Transport,japplegate@landstar.com,(904) 390-4876,https://www.landstar.com,FL,,,1991,T-Transportation,75,heavy-haul,"""Landstar Transportation Logistics, Inc."" owner OR CEO OR president site:linkedin.com"
Larkin Express,Specialized Transport,stelling@larkinexpress.com,(843) 410-4850,https://www.larkinexpress.com,TN,,,2023,T-Transportation,75,heavy-haul,"""Larkin Express"" owner OR CEO OR president site:linkedin.com"
"Leavitt Cranes USA, Inc",Crane & Rigging,erickz@leavittcranes.com,,https://www.leavittcranes.com,WA,,,2018,C-Crane & Rigging,75,crane-rigging,"""Leavitt Cranes USA, Inc"" owner OR CEO OR president site:linkedin.com"
"Lee Transportation, Inc",Specialized Transport,richj@leetransportation.us,(810) 441-8089,https://www.leetransportation.us,MI,,,2025,T-Transportation,75,heavy-haul,"""Lee Transportation, Inc"" owner OR CEO OR president site:linkedin.com"
LiftHigh Crane & Rigging,Crane & Rigging,sland@lifthighcrane.com,(713) 202-3807,https://,TX,,,2025,C-Crane & Rigging,75,crane-rigging,"""LiftHigh Crane & Rigging"" owner OR CEO OR president site:linkedin.com"
"Lone Star Transportation, LLC",Specialized Transport,doug.miller@lonestar-llc.com,(817) 306-1000,https://www.lonestar-llc.com,TX,,,1991,O-Oil FieldS-SteelT-Transportation,75,heavy-haul,"""Lone Star Transportation, LLC"" owner OR CEO OR president site:linkedin.com"
Long Road Transportation LLC,Specialized Transport,info@longroad.one,(425) 800-4609,https://www.longroad.one,WA,,,2025,S-SteelT-Transportation,75,heavy-haul,"""Long Road Transportation LLC"" owner OR CEO OR president site:linkedin.com"
McCollisters Global Services,Specialized Transport,cmanford@mccollisters.com,(734) 516-1039,https://www.mccollisters.com,NJ,,,2024,T-Transportation,75,heavy-haul,"""McCollisters Global Services"" owner OR CEO OR president site:linkedin.com"
Powersource Transportation,Specialized Transport,-Barb@powersourcetrans.com,(800) 438-8789,https://www.powersourcetrans.com,IN,,,2026,T-Transportation,75,heavy-haul,"""Powersource Transportation"" owner OR CEO OR president site:linkedin.com"
Reeve Trucking Company Inc.,Specialized Transport,bprotz@reevetrucking.com,(209) 948-4061,https://www.reevetrucking.com,CA,,,2016,T-Transportation,75,heavy-haul,"""Reeve Trucking Company Inc."" owner OR CEO OR president site:linkedin.com"
Reliable Transport LLC,Specialized Transport,luke@reliabletransportoh.com,(937) 684-8392,https://www.Relibaleheavyhaul.com,OH,,,2024,T-Transportation,75,heavy-haul,"""Reliable Transport LLC"" owner OR CEO OR president site:linkedin.com"
RGM Transport,Specialized Transport,ryan@rgmtransport.com,(717) 507-6601,https://www.rgmtransport.com,PA,,,2025,T-Transportation,75,heavy-haul,"""RGM Transport"" owner OR CEO OR president site:linkedin.com"
"RLS Specialized Transport, Inc.",Specialized Transport,lpuente@rlsint.com,(956) 712-8101,https://www.rlsint.com,TX,,,2025,T-Transportation,75,heavy-haul,"""RLS Specialized Transport, Inc."" owner OR CEO OR president site:linkedin.com"
Silk Road Specialized LLC,Specialized Transport,tharaty@srs.net,(607) 295-7406,https://www.srs.net,NY,,,2020,T-Transportation,75,heavy-haul,"""Silk Road Specialized LLC"" owner OR CEO OR president site:linkedin.com"
Taylor Transport,Specialized Transport,brittanynelson@taylortruck.net,(770) 387-7500,https://www.taylortruck.net,GA,,,2016,T-Transportation,75,heavy-haul,"""Taylor Transport"" owner OR CEO OR president site:linkedin.com"
Total Energy Corp,Specialized Transport,rarmentano@totalenergy.com,(914) 276-0490,https://www.totalenergy.com,OK,,,2025,T-Transportation,75,heavy-haul,"""Total Energy Corp"" owner OR CEO OR president site:linkedin.com"
TPH-Project Services LLC,Crane & Rigging,padraigtarrant@msn.com,(917) 597-2000,https://,NY,,,2024,C-Crane & RiggingI-International,75,crane-rigging,"""TPH-Project Services LLC"" owner OR CEO OR president site:linkedin.com"
TransMaster Trailers/Master Solutions Inc.,Specialized Transport,rdiemer@mastersi.com,(717) 243-6849,https://www.transmastertrailers.com,PA,,,2011,T-Transportation,75,heavy-haul,"""TransMaster Trailers/Master Solutions Inc."" owner OR CEO OR president site:linkedin.com"
Trans-United Inc.,Specialized Transport,jfleming@transunited.com,(219) 762-3111,https://www.transunited.com,IN,,,1996,S-SteelT-Transportation,75,heavy-haul,"""Trans-United Inc."" owner OR CEO OR president site:linkedin.com"
"UACL Specialized, LLC.",Specialized Transport,DPickens@uacl.com,(281) 253-6529,https://www.uacl.com,TX,,,2025,T-Transportation,75,heavy-haul,"""UACL Specialized, LLC."" owner OR CEO OR president site:linkedin.com"
"V. Van Dyke, Inc",Specialized Transport,khufford@vvandyke.com,(253) 272-2222,https://www.vvandyke.com,WA,,,2016,T-Transportation,75,heavy-haul,"""V. Van Dyke, Inc"" owner OR CEO OR president site:linkedin.com"
Wildcat Heavy Haul,Specialized Transport,matthew@wildcatheavyhaul.com,(985) 399-2111,https://WWW.WILDCATHEAVYHAUL.COM,TX,,,2025,O-Oil FieldT-Transportation,75,heavy-haul,"""Wildcat Heavy Haul"" owner OR CEO OR president site:linkedin.com"
Coyson Transportation,Specialized Transport,jfink@coyson.com,(620) 330-3699,https://,OK,,,2025,T-Transportation,65,heavy-haul,"""Coyson Transportation"" owner OR CEO OR president site:linkedin.com"
Frontier Heavy Haul & Support Inc.,Specialized Transport,danc@frontierhhs.com,(928) 587-6509,https://,TX,,,2020,O-Oil FieldT-Transportation,65,heavy-haul,"""Frontier Heavy Haul & Support Inc."" owner OR CEO OR president site:linkedin.com"
MB Transport LLC,Specialized Transport,jb4mbtransport@gmail.com,(570) 847-8686,https://,PA,,,2026,T-Transportation,65,heavy-haul,"""MB Transport LLC"" owner OR CEO OR president site:linkedin.com"
North American Specialized Transport,Specialized Transport,jruhlman@naspecialized.com,(586) 203-2600,https://,MI,,,2016,I-InternationalS-SteelT-Transportation,65,heavy-haul,"""North American Specialized Transport"" owner OR CEO OR president site:linkedin.com"
Palco Transportation LLC,Specialized Transport,amberpalecek@outlook.com,(609) 306-5038,https://,NJ,,,2018,T-Transportation,65,heavy-haul,"""Palco Transportation LLC"" owner OR CEO OR president site:linkedin.com"
